Hero Image,Details,Description,in en search,exists in en,translated,name,Excursion Link
y,n,n,n,y,n,Bicycle Adventure to Montmorency Falls,https://www.hollandamerica.com/de_DE/shore-excursions/1010066/bicycle-adventure-to-montmorency-falls.html
y (placeholder),n,n,y,y,n,Big French Key All-Inclusive Retreat,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/big-french-key-all-inclusive-retreat.html
n,n,n,y,y,n,Bike & Clear Kayak Adventure,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/bike-clear-kayak-adventure.html
n,n,n,y,y,n,Bio-Luminescent Bay Kayak,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/bio-luminescent-bay-kayak.html
y,n,n,y,y,y,Blue Lagoon Island Segway-Safari und Strand,https://www.hollandamerica.com/de_DE/shore-excursions/1010063/blue-lagoon-island-segway-safari-beach.html
n,n,n,y,y,y,Bonaire Highlights,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/bonaire-highlights.html
n,n,n,y,y,y,Bonaire Marine Park Korallenrestaurierungsprojekt – Schnorchelausflug,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/bonaire-marine-park-coral-restoration-adventure-dive.html
y,n,n,n,y,y,Boston bei Nacht und Hummer zum Abendessen,https://www.hollandamerica.com/de_DE/shore-excursions/1010066/boston-by-night-lobster-dinner.html
y,y,y,n,y,n,"Boston, Lexington und Concord mit Mittagessen",https://www.hollandamerica.com/de_DE/shore-excursions/1010056/boston-lexington-concord-with-lunch.html
y (placeholder),n,n,y,y,y,Bucht von Cartagena und Tour der Festungsstadt,https://www.hollandamerica.com/de_DE/shore-excursions/1010058/cartagena-bay-and-walled-city-tour.html
y (placeholder),n,n,n,y,y,"Buchten von Fundy, Grand Pré und Weingut: In Kooperation mit dem Food & Wine Magazine",https://www.hollandamerica.com/de_DE/shore-excursions/1010056/bays-of-fundy-grand-pre-winery-in-partnership-with-food-wine-magazine.html
n,n,n,y,y,n,Butterfly Conservatory & Aquarium,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/butterfly-conservatory-aquarium.html
n,n,n,y,y,n,Butterfly Conservatory & Aquarium (Wheelchair Accessible),https://www.hollandamerica.com/de_DE/shore-excursions/1010059/butterfly-conservatory-aquarium-wheelchair-accessible.html
n,n,n,y,y,y,Cabaret Parisien im Hotel Nacional,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/parisien-cabaret-at-hotel-nacional.html
n,n,n,y,y,y,Calypso-Island-Bahn,https://www.hollandamerica.com/de_DE/shore-excursions/1010027/calypso-island-tram.html
y,n,n,y,y,n,Campo del Mar Beach Break,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/campo-del-mar-beach-break.html
y,n,n,y,y,y,Canyon-Abenteuer,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/canyon-adventure.html
y (placeholder),n,n,y,y,n,Capture Cozumel Photo Expedition,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/capture-cozumel-photo-expedition.html
y,n,n,y,y,y,Carbet-Wasserfälle und Wanderung,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/carbet-falls-hike.html
n,n,n,y,y,n,"Caribbean Train, Countryside & Tortuguero Canals",https://www.hollandamerica.com/de_DE/shore-excursions/1010057/caribbean-train-countryside-tortuguero-canals.html
