Hero Image,Details,Description,in en search,exists in en,translated,name,Excursion Link
y (placeholder),n,n,y,y,n,Cartagena by Land & Sea,https://www.hollandamerica.com/es_ES/shore-excursions/1010057/cartagena-by-land-sea.html
n,n,n,y,y,n,"Casa Bacardi, Old San Juan & Fortress",https://www.hollandamerica.com/es_ES/shore-excursions/1010059/casa-bacardi-old-san-juan-fortress.html
n,n,n,y,y,n,"Casa Bacardi, Old San Juan & Fortress (Wheelchair Accessible)",https://www.hollandamerica.com/es_ES/shore-excursions/1010059/casa-bacardi-old-san-juan-fortress-wheelchair-accessible.html
n,n,n,y,y,y,Cascadas de Damajagua: una aventura impulsada por la adrenalina,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/waterfalls-of-damajagua-an-adrenalin-fueled-adventure.html
y,n,n,y,y,y,Cascadas del Carbet y excursión,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/carbet-falls-hike.html
y,n,n,y,y,n,Cascades Discovery Hike & Swim,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/cascades-discovery-hike-swim.html
y,n,n,y,y,y,Castillos del Viejo San Juan y compras,https://www.hollandamerica.com/es_ES/shore-excursions/1010066/old-san-juan-fortresses-shopping.html
n,n,n,y,y,n,Catamaran Cruise with Lobster Lunch,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/catamaran-cruise-with-lobster-lunch.html
n,n,n,y,y,n,Catamaran Sail & Snorkel,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/catamaran-sail-snorkel.html
n,n,n,y,y,n,Catamaran Sail & Snorkel (d),https://www.hollandamerica.com/es_ES/shore-excursions/1010059/catamaran-sail-snorkel.html#
n,n,n,y,y,n,Catamaran Snorkel & Beach Getaway,https://www.hollandamerica.com/es_ES/shore-excursions/1010060/catamaran-snorkel-beach-getaway.html
y,n,n,y,y,y,Catamarán cinco estrellas y encuentro con tortugas,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/five-star-catamaran-turtle-encounter.html
n,n,n,y,y,y,Catamarán de lujo y esnórquel,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/deluxe-catamaran-snorkeling-experience.html
n,n,n,y,y,y,Cataratas del Río Dunn exprés,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/dunn-s-river-falls-express.html
y (placeholder),n,n,y,y,y,Cataratas del Río Dunn exprés,https://www.hollandamerica.com/es_ES/shore-excursions/1010060/dunn-s-river-falls-express.html
y (placeholder),n,n,y,y,y,Cataratas del Río Dunn exprés (d),https://www.hollandamerica.com/es_ES/shore-excursions/1010060/dunn-s-river-falls-express.html#
n,n,n,y,y,n,Caves & City Highlights,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/caves-city-highlights.html
n,n,n,y,y,n,"Cayman Highlights, Hell & Beach Club",https://www.hollandamerica.com/es_ES/shore-excursions/1010059/cayman-highlights-hell-beach-club.html
n,n,n,y,y,n,Cayman Island Highlights & Turtle Centre,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/cayman-island-highlights-turtle-centre.html
n,n,n,y,y,n,Cayman Islands Heritage Discovery,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/cayman-islands-heritage-discovery.html
n,n,n,y,y,n,Cayman Islands Shipwrecks & National Museum,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/cayman-islands-shipwrecks-national-museum.html
n,n,n,y,y,n,Cayman Sightseeing Adventure,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/cayman-sightseeing-adventure.html
n,n,n,y,y,y,Cena y experiencia nocturna Kukoo Kunuku: en asociación con la revista Food & Wine,https://www.hollandamerica.com/es_ES/shore-excursions/1010060/kukoo-kunuku-dinner-nightlife-experience-in-partnership-with-food-wine-magazine.html
n,n,n,y,y,y,Cenote Las Ondas y Juanillo Beach,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/cenote-las-ondas-juanillo-beach.html
n,n,n,y,y,n,Certified Scuba,https://www.hollandamerica.com/es_ES/shore-excursions/1010059/certified-scuba.html
n,n,n,y,y,n,Chacchoben Mayan Ruins,https://www.hollandamerica.com/es_ES/shore-excursions/1010060/chacchoben-mayan-ruins.html
