Hero Image,Details,Description,in en,translated,name,Excursion Link
n,y,y,y,y,Een Wandeling Door Oud-Quebec,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/a-walk-through-old-quebec.html
y,y,y,y,y,Een Wandeling Door Oud-Québec En Wijnen Proeven,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/a-walk-through-old-quebec-wine-tasting.html
y,y,y,n,y,Een Wandeling Door Qaqortoq,https://www.hollandamerica.com/nl_NL/shore-excursions/1010063/a-walk-through-qaqortoq.html
n,y,y,n,y,Een Wandeling Door Red Bay: Toen En Nu,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/a-stroll-through-red-bay-then-now.html
n,y,y,y,y,Een Wandeling Door De Stad Québec En Thee In Chateau Frontenac,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/a-stroll-through-quebec-city-tea-at-the-chateau-frontenac.html
y,y,y,y,y,Een Wandeling Door Het Charleston Van George Washington,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/a-stroll-through-george-washington-s-charleston.html
y,y,y,y,y,Een Wandeling Door Het Historische Halifax,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/a-walk-through-historic-halifax.html
n,y,y,y,y,Een Wandeling Door Historisch Saint John,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/a-walk-through-historic-saint-john.html
y,y,y,y,y,Een Wandeling In Het Park,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/a-stroll-in-the-park.html
n,n,n,y,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/a-walk-in-the-park-ocean-trail-hike.html
n,y,y,y,y,Een Wandelingetje Naar Corner Brook Stream,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/a-stroll-to-corner-brook-stream.html
y,y,y,n,y,El Canonazo Avondtour,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/el-canonazo-evening-tour.html
y,y,y,y,n,Everglades Airboat Ride,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/everglades-airboat-ride.html
y,y,y,y,n,Everglades Airboat Ride & Transfer To Ft Lauderdale Airport,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/everglades-airboat-ride-transfer-to-ft-lauderdale-airport.html
y,y,y,y,n,Everglades Airboat Ride & Transfer To Miami Airport,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/everglades-airboat-ride-transfer-to-miami-airport.html
y,y,y,y,y,"Exclusief Rondkijken In Boston Met Hop-On, Hop-Off",https://www.hollandamerica.com/nl_NL/shore-excursions/1010063/exclusive-boston-sightseeing-with-hop-on-hop-off-extension.html
y,y,y,n,n,Exploring Cozumel By Jeep & Snorkel,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/exploring-cozumel-by-jeep-snorkel.html
y,y,y,y,n,Extended Old Town Hop-On/Hop-Off Trolley,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/extended-old-town-hop-on-hop-off-trolley.html
y,y,y,y,n,Extended Old Town Hop-On/Hop-Off Trolley (Wheelchair Accessible),https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/extended-old-town-hop-on-hop-off-trolley-wheelchair-accessible.html
n,n,n,y,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010063/fair-isle-food-tour.html
n,y,y,y,y,Fietsavontuur Naar De Montmorency-Watervallen,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/bicycle-adventure-to-montmorency-falls.html
n,y,y,n,y,Fietsen In Bolungarvik,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/biking-in-bolungarvik.html
n,y,y,n,y,Fjorden En Bloemen,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/fjords-flowers.html
